#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"The Prayer","Anthony Callea",31,139,"","","Anthony Callea",2005-00-00,04:15,22,46,77,0,11,0,0,-5,A#/B♭,4,2022-02-13,2r9LMUnfsxtDqIZF8ByZ8n,"BMG Music",6B,AUBM00448803
2,"Don't Cha","The Pussycat Dolls, Busta Rhymes",75,120,"east coast hip hop","Hip Hop","PCD",2005-01-01,04:32,88,63,1,0,55,10,10,-3,C♯/D♭,4,2021-11-10,0BxfFnk0YzONqvmrkO0QrB,"Pussycat Dolls",3B,USUM70503191
3,"Lonely","Akon",49,90,"","","Heartbreakers",2007-01-01,03:55,62,57,32,0,57,0,30,-8,F minor,4,2021-11-10,4mNGNMcsoMS6F9SGycmHWM,"Universal Music Group International",4A,USUR10301221
4,"Axel F","Crazy Frog",71,138,"","","Crazy Frog presents Crazy Hits",2005-08-01,02:51,84,93,29,65,87,0,10,-1,D,4,2021-11-10,0Bo5fjMtTfCD8vHGebivqc,"Mach 1",10B,DES310500134
5,"Over And Over","Nelly, Tim McGraw",62,170,"country, classic country","Country","Suit",2004-09-14,04:13,64,52,1,0,46,0,10,-10,G,4,2021-11-10,2b8QQqf8Vwb7bfz22ja8Fk,"Motown",9B,USUR10400789
6,"Switch","Will Smith",56,103,"","","Lost And Found",2005-01-01,03:16,88,89,1,0,52,10,50,-5,C♯/D♭,4,2021-11-10,2bmxx16hNi3W5FGzfFO9xX,"Overbrook/Interscope",3B,USIR10500153
7,"Let Me Love You","Mario",76,95,"r&b","R&B","Let Me Love You",2004-09-21,04:16,66,58,24,0,56,0,10,-9,G minor,4,2021-11-10,3ibKnFDaa3GhpPGlOUj7ff,"J Records",6A,USJAY0400348
8,"Nasty Girl","Nitty",44,122,"","","Players Paradise",2005-01-01,04:08,94,98,6,0,94,0,0,-5,D,4,2021-11-10,4BEMCMVRloo4lv5Wak50Go,"Motown",10B,USUR10400585
9,"Feel Good Inc.","Gorillaz, De La Soul",90,139,"jazz rap, east coast hip hop","Hip Hop, Jazz","Demon Days",2005-05-23,03:42,82,71,1,0,77,10,60,-7,F#/G♭,4,2021-11-10,0d28khcov6AiegSCpG5TuT,"Parlophone UK",2B,GBAYE0500172
10,"Don't Phunk With My Heart","Black Eyed Peas",69,131,"","","Monkey Business",2005-01-01,03:59,69,93,1,0,60,0,50,-3,F minor,4,2021-11-10,5MzjQ95rdB2xt9DNa2IzaC,"Interscope",4A,USIR10500521
11,"You're Beautiful","James Blunt",63,82,"","","Back to Bedlam",2005-10-04,03:29,68,48,63,0,45,0,0,-10,C minor,4,2021-11-10,5pbajJXEPdcoXQPXoAVR1t,"Atlantic Records",5A,USAT20401588
12,"Ghetto Gospel","2Pac, Elton John",67,81,"old school hip hop, gangster rap, west coast hip hop, g-funk, hip hop","Hip Hop, R&B","Loyal To The Game",2004-01-01,03:58,79,61,10,0,66,0,0,-5,F minor,4,2021-11-10,7jLbTp3qZzah9kMIdW8e5M,"Amaru",4A,USIR10401032
13,"1, 2 Step (feat. Missy Elliott) - Main","Ciara, Missy Elliott",55,113,"hip hop","Hip Hop","Goodies",2005-01-22,03:22,94,50,4,0,80,10,0,-11,F minor,4,2021-11-10,72vWmeqYcT1irKClpbenQm,"LaFace Records",4A,USLF20400135
14,"Almost Here","Brian McFadden, Delta Goodrem",15,78,"","","Almost Here",2005-01-31,03:49,56,45,42,0,28,0,10,-7,A minor,4,2021-11-10,0NeuoQbwJY01QBB6v6TN6w,"Sony Music Entertainment",8A,GBBBN0401163
15,"4ever","The Veronicas",52,146,"","","The Secret Life Of...",2005-10-18,03:28,58,86,0,0,56,0,10,-2,F minor,4,2021-11-10,4ECvB9frSDegHfKNRh9dwT,"Sire/Warner Records",4A,USWB10502659
16,"These Boots Are Made for Walkin'","Jessica Simpson",41,92,"","","A Public Affair",2007-02-12,03:59,78,78,1,0,75,10,20,-9,B,4,2021-11-10,1uH3ACslv1CZCCAqyPtG3H,"Epic",1B,USSM10503863
17,"We Belong Together","Mariah Carey",77,140,"christmas","Pop","The Emancipation of Mimi",2005-00-00,03:21,84,48,3,0,77,0,0,-8,C,4,2022-02-13,4EI8VuxUuIHKfafU72emqz,"Def Jam Recordings",8B,USIR20500195
18,"Bad Day","Daniel Powter",76,140,"","","Daniel Powter",2005-02-22,03:53,60,79,45,0,52,0,10,-4,D#/E♭,4,2021-11-10,0mUyMawtxj1CJ76kn9gIZK,"Warner Records",5B,USWB10401971
19,"Beautiful Soul","Jesse McCartney",70,90,"","","Beautiful Soul",2004-01-01,03:34,66,67,8,0,93,0,0,-4,A,4,2021-11-10,1HwpWwa6bnqqRhK8agG4RS,"Hollywood Records",11B,USHR10421324
