#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"What About Me","Shannon Noll",49,128,"","","That's What I'm Talking About",2004-02-02,03:21,61,44,68,0,26,0,10,-6,E,4,2021-11-04,3BUdRr4VGmNajx2wLWlGzl,"BMG Music",12B,AUBM00447806
2,"Left Outside Alone","Anastacia",65,103,"","","Anastacia",2004-00-00,04:17,66,75,7,0,33,0,0,-4,D minor,4,2021-11-04,3xl7PsO7Hzuig6To9FgDm6,"Epic",7A,USSM10400150
3,"Black Betty - Extended Version","Spiderbait",53,124,"","","B-Sides Collection",2017-02-17,04:16,47,88,0,61,44,0,10,-7,C,4,2021-11-04,3tiBuI6svprsuoeiJj7Q5H,"Universal Music Australia Pty. Ltd.",8B,AUUM00430015
4,"Milkshake","Kelis",3,113,"","","Tasty",2003-12-05,03:02,88,77,1,3,76,0,20,-6,C♯/D♭,4,2021-11-04,2cMTIlktg3M9mXYqCPqw1J,"Virgin Records",3B,USAR10301131
5,"Fuck It (I Don't Want You Back)","Eamon",67,69,"","","I Don't Want You Back",2004-01-23,03:45,83,65,21,0,57,0,0,-6,C minor,4,2021-11-04,1p5kC161fWMA2QlwV3Vi4W,"Jive",5A,USJI10300480
6,"Superstar","Jamelia",1,110,"","","Thank You",2003-06-30,03:35,80,65,5,0,82,0,0,-7,C♯/D♭,4,2021-11-04,3oobWqIgYrSRg18uqRuPIF,"Woah Dad!",3B,GBAYE0202055
7,"My Immortal","Evanescence",76,79,"alternative metal","Metal, Rock","Fallen",2003-03-04,04:22,19,27,86,0,10,0,10,-9,A,4,2021-11-04,4UzVcXufOhGUwF56HT7b8M,"The Bicycle Music Company",11B,USWU30200104
8,"These Kids (radio edit)","Joel Turner",40,132,"","","Joel Turner & The Modern Day Poets",2004-01-01,04:00,75,85,11,0,67,0,10,-5,E minor,4,2021-11-04,0rYA2OJ81pKaPgjMweCipO,"Dream Dealers",9A,AUDM00500001
9,"Shut Up","Black Eyed Peas",0,113,"","","Elephunk",2003-00-00,04:56,80,72,6,0,57,20,20,-4,D,4,2021-11-04,6diFcq4UcYDlBeRVqOCWY1,"A&M",10B,USIR10311895
10,"Suga Suga","Baby Bash, Frankie J",73,82,"","","Tha Smokin' Nephew",2003-01-01,03:59,66,75,69,0,54,20,0,-3,F minor,4,2021-11-04,6Nq5lE0CeOAAAqN4qhkbZU,"Universal Records",4A,USUR10300765
11,"My Band","D12",70,120,"","","D-12 World",2004-01-01,04:58,85,85,50,0,84,0,10,-3,C♯/D♭ minor,4,2021-11-04,4XHQyvbrBsQaaBUW1VvmsL,"Polydor Associated Labels",12A,USIR10400103
12,"Behind Blue Eyes","Limp Bizkit",78,120,"nu metal, rap metal, alternative metal, rap rock","Metal, Rock, Hip Hop","Results May Vary",2003-01-01,04:29,60,49,50,0,9,0,10,-7,G,4,2021-11-04,1MTQHCpraD4S8g5PAFKzoj,"Limp Bizkit / Interscope",9B,USIR10312186
13,"She Will Be Loved","Maroon 5",73,102,"pop","Pop","Songs About Jane",2002-06-25,04:17,71,71,6,0,54,0,10,-6,C minor,4,2021-11-04,7sapKrjDij2fpDVj0GxP66,"Interscope Records*",5A,USJAY0300082
14,"With You","Jessica Simpson",52,94,"","","In This Skin (Deluxe Edition)",2003-00-00,03:11,55,76,9,0,61,10,20,-5,C,4,2021-11-04,7pNJ1T9TGbVbNHKaLhhPri,"Columbia",8B,USSM10308249
15,"Hey Ya!","Outkast",82,80,"southern hip hop, hip hop","Hip Hop","Speakerboxxx/The Love Below",2003-00-00,03:55,73,97,10,0,97,0,10,-2,E minor,4,2021-11-04,2PpruBYCo4H7WOBJ7Q2EwM,"Arista",9A,USAR10300924
16,"I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster","Mario Winans, Enya, Diddy",62,97,"new age, celtic, hip hop, east coast hip hop","Folk, Traditional Music, Hip Hop, New Age","Bad Boy 20th Anniversary Box Set Edition",2016-08-12,04:17,83,52,35,0,40,0,10,-5,B minor,4,2021-11-04,2yr2HnFYl7XvqJk4fXoQBt,"Rhino Atlantic",10A,USRH11603418
17,"Angel Eyes","Paulini",21,128,"","","One Determined Heart",2004-07-23,04:01,48,58,54,0,21,0,10,-5,F,4,2021-11-04,7DY005dTZhZjHBCpi09apk,"Columbia",7B,AUSM00400086
18,"Here Without You","3 Doors Down",79,144,"post-grunge","Rock","Away From The Sun",2002-11-12,03:58,56,53,5,0,23,0,20,-7,A#/B♭ minor,4,2021-11-04,3NLrRZoMF0Lx6zTlYqeIo4,"Universal Records",3A,USUR10200764
19,"Four to the Floor","Starsailor",52,93,"britpop","Pop, Rock","Silence Is Easy",2003-09-15,03:53,53,83,3,0,74,0,0,-5,C♯/D♭ minor,4,2021-11-04,4x5WbFaTTCexxBKbUyfBcG,"Parlophone UK",12A,GBAYE0301040
20,"Out Of The Blue","Delta Goodrem",30,76,"","","Mistaken Identity",2004-11-05,04:25,45,71,20,0,24,0,10,-4,F#/G♭,4,2021-11-04,1XfmLcVCKlRWbivOmgd3pU,"Epic",2B,AUSM00400246
21,"So Beautiful - Single Version","Pete Murray",51,83,"","","Feeler",2003-00-00,04:39,50,44,45,0,34,0,10,-10,G minor,4,2021-11-04,5fnP8bD1LwxYVqoMPOW2Se,"Columbia",6A,AUSM00300316
22,"Scar","Missy Higgins",58,92,"","","The Sound Of White",2004-01-01,03:33,65,79,38,0,83,0,20,-6,C,4,2021-11-04,0Xxww5aUyamJlEm8GkP21i,"Universal Music Australia Pty. Ltd.",8B,USWB10401947
23,"Leave (Get Out)","JoJo",4,87,"","","JoJo",2004-06-22,04:02,70,56,16,0,46,20,0,-7,F,4,2021-11-04,3DOxMCaNBNvnjSzpHUSjE3,"Blackground Records, LLC",7B,USUYG1353158
24,"Broken","Seether",57,124,"post-grunge, alternative metal, rock","Metal, Rock","Disclaimer",2002-01-01,04:17,67,48,2,0,18,0,0,-6,E minor,4,2021-11-04,5nakPOknHu3XkeeHoVvhCd,"Fantasy Records",9A,USWU30200027
25,"Listen With Your Heart","Casey Donovan",23,118,"","","For You",2004-12-10,04:01,54,51,82,0,15,0,10,-5,F,4,2021-11-04,1BsIcp6FTuM8jSt4NYe5TW,"Sony Music Entertainment",7B,AUBM00449001
26,"What You Waiting For?","Gwen Stefani",63,136,"","","Love. Angel. Music. Baby. (Deluxe Version)",2004-11-12,03:41,68,95,5,0,73,0,30,-3,F,4,2021-11-04,7bZsx7Zif6FIhrcZrh0LVm,"Interscope",7B,USIR10400692
27,"F.U.R.B. (F U Right Back)","Frankee",52,141,"","","F.U.R.B. (F U Right Back)",2004-10-24,03:21,79,64,10,0,60,10,20,-3,G#/A♭,4,2021-11-04,35Y18Dv2pAiJ7v0Zou9gxI,"Marro Records",4B,USWR30432403
28,"Yeah! (feat. Lil Jon & Ludacris)","USHER, Lil Jon, Ludacris",85,105,"r&b, crunk, southern hip hop","Hip Hop, R&B","Confessions (Expanded Edition)",2004-03-23,04:10,89,79,2,0,58,10,0,-5,D,4,2021-11-04,5rb9QrpfcKFHM1EUbSIurX,"LaFace Records",10B,USAR10301423
29,"Turn Me On","Kevin Lyttle",62,106,"soca, dancehall","Reggae, Latin","Turn Me On (Online Music)",2004-03-30,03:12,68,68,4,0,88,0,0,-7,A,4,2021-11-04,0RmXtDH1cBMGImRrmn5xL6,"Atlantic Records",11B,USAT20400415
30,"Predictable","Delta Goodrem",37,105,"","","Innocent Eyes",2003-03-21,03:38,74,61,46,0,64,0,10,-6,E minor,4,2021-11-04,12VzulX6U34ea0LXm6zGGf,"Epic",9A,AUSM00300028
31,"Burn","USHER",75,120,"r&b","R&B","Confessions (Expanded Edition)",2004-03-23,03:51,80,48,31,0,69,10,10,-7,C♯/D♭,4,2021-11-04,7z3N2W7Xz1t2G2sAO8wFVH,"LaFace Records",3B,USAR10400974
32,"Perfect","Simple Plan",72,156,"pop punk, punk, emo","Rock, Pop","No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",2002-03-19,04:37,49,67,3,0,56,0,10,-5,D#/E♭,4,2021-11-04,4j3X4KX8rURekAVIFUhI23,"Rhino Atlantic",5B,USAT20200143
33,"Trick Me","Kelis",1,107,"","","Tasty",2003-12-05,03:26,97,72,4,0,96,10,30,-3,C♯/D♭ minor,4,2021-11-04,3aImJnJlAgcE7bJ1NxthGt,"Virgin Records",12A,USAR10301288
34,"Drive","Shannon Noll",38,126,"","","That's What I'm Talking About",2004-02-02,03:58,60,89,0,0,83,0,0,-4,A,4,2021-11-04,4NBASiUXghS8tKTDYDbxtP,"BMG Music",11B,AUBM00447804
35,"Tipsy - Club Mix","J-Kwon",53,93,"","","Tipsy",2001-01-01,04:07,93,74,7,0,65,30,0,-6,A minor,4,2021-11-04,6fqqAsCYfDOtXAD8Ydo06K,"So So Def",8A,USAR10301217
36,"Just Lose It","Eminem",69,121,"rap, hip hop","Hip Hop","Encore (Deluxe Version)",2004-11-12,04:08,94,63,6,0,96,0,20,-4,G#/A♭,4,2021-11-04,0qcjuYtMWhBjXg0Xwt5SzS,"Eminem Catalog PS",4B,USIR10400682
37,"When The War Is Over","Cosima De Vito",21,87,"","","Cosima",2004-10-01,03:48,56,44,46,0,13,0,10,-6,B,4,2021-11-04,6IBlag2e4FZtI7iECkyhCE,"Cosima De Vito",1B,AUQOZ2000002
38,"Toxic","Britney Spears",85,143,"pop","Pop","In The Zone",2003-11-13,03:18,77,84,2,3,92,10,20,-4,F minor,4,2021-11-04,6I9VzXrHxO9rA9A5euc8Ak,"Jive",4A,USJI10301005
39,"One Call Away","Chingy, Jason Weaver",63,163,"crunk","Hip Hop","Jackpot",2003-01-01,04:36,77,82,9,0,96,10,20,-6,E minor,4,2021-11-04,0UNTBB02C1aB55Fu4H63qd,"Capitol Records",9A,USCA20300286
