#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Call Me Maybe","Carly Rae Jepsen",0,120,"","","Call Me Maybe",2012-01-01,03:13,78,62,1,0,65,0,10,-7,G,4,2013-12-21,5unfeZUhKhICP73CDYBW4N,"School Boy/Interscope Records",9B,CAB391100615
2,"Gangnam Style (강남스타일)","PSY",0,132,"k-pop","Pop","Gangnam Style (강남스타일)",2012-01-01,03:39,73,94,0,0,76,20,0,-3,B minor,4,2013-12-21,1R2SZUOGJqqBiLuvwKOT2Y,"Universal Music Group",10A,USUM71210283
3,"Battle Scars - featuring Lupe Fiasco","Guy Sebastian",0,84,"","","Battle Scars",2012-08-10,04:08,61,87,23,0,46,20,10,-3,F minor,4,2013-12-21,0sY0OXVttb9cwTeH1bpyTj,"Sony Music Entertainment",4A,AUBM01200186
4,"Whistle","Flo Rida",52,104,"","","Whistle",2012-04-24,03:45,75,93,2,0,75,0,30,-6,C,4,2013-12-21,0ltBH1JNzSvQJPjJpvTu9B,"Poe Boy/Atlantic",8B,USAT21201745
5,"Wild Ones (feat. Sia)","Flo Rida, Sia",49,127,"","","Wild Ones (feat. Sia)",2011-12-19,03:53,62,89,10,0,45,0,20,-4,F minor,4,2013-12-21,5Z7ygHQo02SUrFmcgpwsKW,"Poe Boy/Atlantic",4A,USAT21104103
6,"Starships","Nicki Minaj",0,125,"","","More From Pitch Perfect",2013-01-01,03:31,74,66,16,0,74,0,10,-4,B minor,4,2013-12-21,22sDP4uj7Fd5sOkk2aie5c,"Universal Music Group",10A,USCM51200059
7,"Boom Boom","Justice Crew",0,126,"","","Boom Boom",2012-07-02,03:05,81,85,14,0,86,10,10,-3,F#/G♭,4,2013-12-21,06f2FAciQtS4buXpLCbwrO,"Sony Music Entertainment",2B,AUBM01200133
8,"Skinny Love","Birdy",10,88,"","","Skinny Love",2011-01-30,03:20,39,30,96,0,18,0,10,-9,E,4,2013-12-21,0xJtHBdhpdLuClaSQYddI4,"WM UK",12B,GBAHT1100002
9,"Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",66,95,"g-funk","Hip Hop, R&B","Thrift Shop (feat. Wanz)",2013-01-14,03:55,78,53,6,0,66,20,0,-7,F#/G♭ minor,4,2013-12-21,1CmUZGtH29Kx36C1Hleqlz,"Macklemore",11A,GMM881200003
10,"Don't You Worry Child - Radio Edit","Swedish House Mafia, John Martin",82,129,"edm","Electronic","Don't You Worry Child",2012-09-14,03:32,61,84,11,0,44,0,10,-3,B minor,4,2013-12-21,2V65y3PX4DkRhy1djlxd9p,"Pophouse Entertainment Group",10A,GBAAA1200728
11,"Payphone","Maroon 5, Wiz Khalifa",0,110,"pop, rap","Pop, Hip Hop","Payphone",2012-04-17,03:51,74,74,2,0,56,0,30,-5,E,4,2013-12-21,5IWmU2PNimgYuTLddU2DRo,"Digital Distribution Latvia",12B,USUM71203347
12,"We Are Young (feat. Janelle Monáe)","fun., Janelle Monáe",52,184,"alternative r&b","Pop, R&B","We Are Young (feat. Janelle Monáe)",2011-09-20,04:10,38,64,2,0,74,0,0,-6,A#/B♭,4,2013-12-21,3ehrxAhYms24KLPG8FZe0W,"Fueled By Ramen",6B,USAT21101399
