#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Low (feat. T-Pain)","Flo Rida, T-Pain",84,128,"","","Mail on Sunday",2008-03-17,03:51,92,61,9,0,30,0,10,-6,A#/B♭ minor,4,2022-02-14,0CAfXk7DXMnon4gLudAp7J,"Poe Boy/Atlantic",3A,USAT20705841
2,"So What","P!nk",76,126,"","","Funhouse (Expanded Edition)",2008-10-24,03:35,53,87,0,0,46,0,20,-3,B minor,4,2022-02-14,0JiY190vktuhSGN6aqJdrt,"LaFace Records",10A,USLF20800067
3,"Sweet About Me","Gabriella Cilmi",47,132,"","","Lessons To Be Learned (Special Edition)",2008-05-10,03:23,69,74,12,0,51,0,30,-5,D#/E♭ minor,4,2022-02-14,6LTjAQf9JGZoVuLHJGUUlm,"WM Australia",2A,GBUM70709626
4,"Bleeding Love","Leona Lewis",78,104,"","","Spirit",2007-00-00,04:22,64,66,19,0,23,0,10,-6,F,4,2022-02-14,7wZUrN8oemZfsEd1CGkbXE,"Syco Music UK",7B,GBHMU0700049
5,"Sex on Fire","Kings of Leon",83,153,"","","Only By The Night",2008-09-23,03:23,54,91,0,1,37,0,10,-6,A,4,2022-02-14,0ntQJM78wzOLVeCUAW7Y45,"RCA/Legacy",11B,USRC10800300
6,"I Kissed A Girl","Katy Perry",59,130,"pop","Pop","One Of The Boys",2008-00-00,02:59,70,76,0,0,70,0,10,-3,F,4,2022-02-14,25ZttbpeUKDOm3aghD2oBJ,"Capitol Records",7B,USCA20801738
7,"Just Dance","Lady Gaga, Colby O'Donis",83,119,"art pop, pop","Pop","The Fame",2008-01-01,04:01,82,74,3,0,75,0,10,-5,C♯/D♭ minor,4,2022-02-14,1dzQoRqT5ucxXVaAhTcT0J,"Streamline/Interscope",12A,USUM70807646
8,"No Air (feat. Chris Brown)","Jordin Sparks, Chris Brown",74,160,"r&b","R&B","Jordin Sparks",2007-11-20,04:24,47,76,5,0,33,20,0,-5,G#/A♭ minor,4,2022-02-14,1jUA4rb6ZCv4gby4YU53xq,"19 Recordings",1A,GBCTA0700277
9,"I'm Yours","Jason Mraz",77,151,"soft pop, acoustic pop","Folk, Pop","We Sing. We Dance. We Steal Things.",2008-05-12,04:02,70,44,56,0,71,0,10,-9,B,4,2022-02-14,1EzrEOXmMH3G43AXT1y7pA,"Atlantic Records/ATG",1B,USEE10800667
10,"All Summer Long","Kid Rock",72,103,"","","Rock n Roll Jesus",2007-10-09,04:57,70,86,2,0,89,0,10,-4,G,4,2022-02-14,5rX6C5QVvvZB7XckETNych,"Top Dog/Atlantic",9B,USAT20704333
11,"Shake It","Metro Station",67,150,"","","Metro Station",2007-09-18,02:59,62,96,0,0,79,0,40,-4,E,4,2022-02-14,5619Ojc6t9evEEs3B7Drhe,"Red Ink",12B,USSM10702537
12,"Don't Stop The Music","Rihanna",84,123,"","","Good Girl Gone Bad: Reloaded",2008-06-02,04:27,83,67,3,0,55,0,0,-6,F#/G♭ minor,4,2022-02-14,0ByMNEPAPpOR5H69DVrTNy,"Def Jam Recordings",11A,USUM70734700
13,"When I Grow Up","The Pussycat Dolls",71,118,"","","Doll Domination (Deluxe)",2008-09-23,04:05,67,69,0,0,37,0,40,-6,B minor,4,2022-02-14,21pySLskKIKrhDziCX5ojQ,"Pussycat Dolls LP2 / Timbaland",10A,USUM70813999
14,"Poker Face","Lady Gaga",84,119,"art pop, pop","Pop","The Fame",2008-01-01,03:57,85,81,12,0,77,0,10,-5,E,4,2022-02-14,1QV6tiMFM6fSOKOGLMHYYg,"Streamline/Interscope",12B,USUM70824409
15,"4 Minutes (feat. Justin Timberlake & Timbaland)","Madonna, Justin Timberlake, Timbaland",76,113,"","","Celebration (double disc version)",2009-09-18,03:09,75,93,1,1,77,0,20,-5,D,4,2022-02-14,1oHClQEgDmmbcEx12Kc5nZ,"Warner Records",10B,USWB10903601
16,"Hot N Cold","Katy Perry",62,132,"pop","Pop","One Of The Boys",2008-00-00,03:40,71,84,0,0,86,0,0,-4,G,4,2022-02-14,1ulXmqjktxSdrdT1bzc69H,"Capitol Records",9B,USCA20802544
17,"Dream Catch Me","Newton Faulkner",23,118,"","","Dream Catch Me",2007-07-02,03:59,63,73,18,0,59,0,0,-6,D,4,2022-02-14,3h2ygYeqZUFbCFXbg2u4RQ,"Ugly Truth",10B,GBHKB0700023
18,"Pictures Of You","The Last Goodnight",50,208,"","","Pictures Of You",2007-01-01,03:10,33,82,17,0,58,0,0,-4,D,4,2022-02-14,6V4y4uuMAxe2EYDIWNToaH,"Virgin Records",10B,USVI20700726
19,"Black & Gold","Sam Sparro",58,136,"","","Black & Gold",2008-01-01,04:34,61,70,0,0,33,0,10,-7,E minor,4,2022-02-14,3V45D1XTTyVZFN3liYuik6,"Universal-Island Records Ltd.",9A,GBUM70800412
20,"Forever","Chris Brown",81,120,"r&b","R&B","Forever",2008-04-29,04:38,67,82,4,0,44,0,10,-4,B,4,2022-02-14,3NZJlJemX3mzjf56MqC5ML,"Jive",1B,USJI10800113
21,"Untouched","The Veronicas",62,177,"","","Hook Me Up",2007-10-30,04:15,56,78,2,2,44,20,10,-5,F#/G♭ minor,4,2022-02-14,0KlahhzNb98zyN83Vwae0l,"Sire/Warner Records",11A,USWB10704602
22,"Disturbia","Rihanna",67,125,"","","Good Girl Gone Bad: Reloaded",2007-03-31,03:58,70,81,9,0,72,0,20,-5,B minor,4,2022-02-14,30VrBsh1STRBoIrhQOAwzK,"Def Jam Recordings",10A,USUM70814476
23,"Crank That (Soulja Boy)","Soulja Boy",76,140,"","","souljaboytellem.com",2007-01-01,03:41,73,74,51,0,80,0,0,-2,C,4,2022-02-14,66TRwr5uJwPt15mfFkzhbi,"Collipark / Interscope",8B,USUM70742048
24,"Bubbly","Colbie Caillat",72,128,"","","Coco",2007-01-01,03:16,69,48,59,0,26,0,10,-7,A,4,2022-02-14,1lkvpmrCaXK8QtliFDcHBO,"Universal Records",11B,USUM70736197
25,"Take A Bow","Rihanna",63,82,"","","Good Girl Gone Bad: Reloaded",2007-03-31,03:49,71,47,25,0,54,0,0,-8,A,4,2022-02-14,39afswHs17v53znQm1gDTY,"Def Jam Recordings",11B,USUM70809004
26,"See You Again","Miley Cyrus",68,139,"","","Meet Miley Cyrus",2007-06-26,03:10,69,91,2,0,80,10,10,-5,A minor,4,2022-02-14,3AjyOYxBv8bByfBtG5o9dP,"Hollywood Records",8A,USHR10723141
27,"American Boy","Estelle, Kanye West",4,118,"rap","Hip Hop","Shine",2008-03-28,04:44,73,73,17,0,51,30,0,-3,C,4,2022-02-14,22UDw8rSfLbUsaAGTXQ4Z8,"Woah Dad!",8B,USAT20706210
28,"Closer","Ne-Yo",72,126,"","","Year Of The Gentleman",2008-01-01,03:54,71,75,2,0,57,0,10,-6,E minor,4,2022-02-14,0GX5oOKtU0nnx5OkhenW2i,"Def Soul",9A,USUM70809378
29,"Running Back (feat. Flo Rida)","Jessica Mauboy, Flo Rida",40,172,"","","Been Waiting",2009-08-24,03:44,48,91,2,0,36,30,10,-4,G#/A♭,4,2022-02-14,2HAk4odx3V0xWcGsfnNZlX,"Sony Music Entertainment",4B,AUBM00800514
30,"Use Somebody","Kings of Leon",80,137,"","","Only By The Night",2008-09-23,03:50,28,72,1,0,17,0,20,-5,C,4,2022-02-14,5VGlqQANWDKJFl0MBG3sg2,"RCA/Legacy",8B,USRC10800301
31,"With You","Chris Brown",79,86,"r&b","R&B","Exclusive (Expanded Edition)",2007-11-06,04:12,66,69,13,0,66,0,10,-4,D#/E♭,4,2022-02-14,5Lgcn7u07bHuqbOtXkN62u,"Jive",5B,USJI10700711
