#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"I Gotta Feeling","Black Eyed Peas",82,128,"","","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,04:49,74,77,9,0,61,0,50,-6,C,4,2022-02-14,4kLLWz7srcuLKA7Et40PQR,"Interscope",8B,USUM70965169
2,"Sexy Bitch (feat. Akon)","David Guetta, Akon",63,130,"edm","Electronic","One More Love",2010-11-22,03:15,81,63,8,0,80,0,10,-5,B minor,4,2022-02-14,127uq83uGFapbddqiMUKky,"Parlophone (France)",10A,FRZID0900500
3,"Love Story","Taylor Swift",76,119,"","","Fearless (Big Machine Radio Release Special)",2008-11-11,03:56,62,74,13,0,31,0,0,-4,D,4,2022-02-14,1D4PL9B8gOg78jiHg3FvBb,"Taylor Swift",10B,USCJY0803275
4,"Boom Boom Pow","Black Eyed Peas",71,130,"","","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,04:11,87,86,13,0,41,0,10,-6,A,4,2022-02-14,3oDFtOhcN08qeDPAK6MEQG,"Interscope",11B,USUM70955624
5,"Right Round (feat. Ke$ha)","Flo Rida, Kesha",49,129,"","","R.O.O.T.S. (Route of Overcoming the Struggle)",2009-03-23,03:22,45,98,5,0,16,20,20,-3,G,4,2022-02-14,1GTC0gBd5B8YmVf3tRl9Ln,"Poe Boy/Atlantic",9B,USAT20900316
6,"Like It Like That","Guy Sebastian",45,161,"","","Like It Like That",2009-10-23,04:01,59,97,1,0,96,0,20,-3,D,4,2022-02-14,7DHjerIyPHNokLIQOmbo9b,"Sony Music Entertainment",10B,AUBM00900190
7,"Halo","Beyoncé",74,80,"","","I AM...SASHA FIERCE",2008-11-17,04:21,51,72,27,0,47,0,0,-6,B minor,4,2022-02-14,4JehYebiI9JE8sR8MisGVb,"Music World Music/Columbia",10A,USSM10804556
8,"Meet Me Halfway","Black Eyed Peas",80,130,"","","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,04:44,80,63,0,0,40,0,30,-7,B minor,4,2022-02-14,3F9ByoUqu31xU0I3G5xfVg,"Interscope",10A,USUM70967700
9,"TiK ToK","Kesha",84,120,"","","Animal (Expanded Edition)",2010-01-01,03:19,76,84,10,0,71,10,20,-3,D minor,4,2022-02-14,0HPD5WQqrq7wPWR7P7Dw1i,"RCA Records Label",7A,USRC10900433
10,"The Last Day on Earth","Kate Miller-Heidke",45,79,"","","Curiouser",2008-10-18,04:47,61,44,56,0,17,0,0,-8,C,4,2022-02-14,6qTmjG7thRJEOaUKFmfjGR,"Sony Music Entertainment",8B,AUBM00800480
11,"Poker Face","Lady Gaga",84,119,"art pop, pop","Pop","The Fame",2008-01-01,03:57,85,81,12,0,77,0,10,-5,E,4,2022-02-14,1QV6tiMFM6fSOKOGLMHYYg,"Streamline/Interscope",12B,USUM70824409
12,"Paparazzi","Lady Gaga",80,115,"art pop, pop","Pop","The Fame",2008-01-01,03:28,76,69,11,0,40,0,0,-4,F minor,4,2022-02-14,02XnQdf7sipaKBBHixz3Zp,"Streamline/Interscope",4A,USUM70824408
13,"You Found Me","The Fray",79,152,"","","The Fray",2009-02-02,04:01,34,80,2,0,40,0,10,-5,G#/A♭ minor,4,2022-02-14,4IoYz8XqqdowINzfRrFnhi,"Epic",1A,USSM10803009
14,"Single Ladies (Put a Ring on It)","Beyoncé",67,193,"","","I AM...SASHA FIERCE",2008-11-17,03:13,43,58,4,0,27,30,10,-5,C♯/D♭,4,2022-02-14,5R9a4t5t5O0IsznsrKPVro,"Music World Music/Columbia",3B,USSM10803760
15,"Jai Ho! (You Are My Destiny)","A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",64,136,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi","Pop, Hip Hop, Traditional Music","Jai Ho! (You Are My Destiny)",2009-01-01,03:42,66,94,5,0,88,0,0,-4,G#/A♭ minor,4,2022-02-14,7Kpqjspw4Y7HrvItIRcBiW,"Pussycat Dolls LP2 / Timbaland",1A,USUM70954362
16,"The Climb","Miley Cyrus",74,161,"","","The Time Of Our Lives (International Version)",2009-01-01,03:54,34,60,6,0,30,0,10,-6,E,4,2022-02-14,5x5JM1BSB6vollcIzDocqT,"Hollywood Records",12B,USWD10935758
17,"You Belong With Me","Taylor Swift",73,130,"","","Fearless (Big Machine Radio Release Special)",2008-11-11,03:52,69,75,18,0,44,0,10,-4,F#/G♭,4,2022-02-14,1GEBsLDvJGw7kviySRI6GX,"Taylor Swift",2B,USCJY0803328
18,"Evacuate The Dancefloor","Cascada",4,127,"europop, eurodance","Electronic, Pop","Evacuate The Dancefloor",2009-01-01,03:27,76,70,2,0,90,0,30,-6,C,4,2022-02-14,0jDWRUbxSn8zQlwFbeLHwo,"UMOD (Universal Music On Demand)",8B,DEHK90911201
19,"Gives You Hell","The All-American Rejects",70,100,"pop punk, emo","Rock, Pop","When The World Comes Down",2008-01-01,03:33,72,69,2,0,55,0,0,-6,E,4,2022-02-14,5gb9UJkh8TfrNMRYOJNbew,"Interscope",12B,USUM70837368
20,"Not Fair","Lily Allen",63,121,"","","It's Not Me, It's You (Special Edition)",2008-12-02,03:22,72,81,5,1,93,0,0,-9,F,4,2022-02-14,41gi9iAWpFW3ps8Tvii6z0,"Parlophone UK",7B,GBAYE0802261
21,"I Know You Want Me (Calle Ocho)","Pitbull",62,127,"","","Pitbull Starring In Rebelution",2009-10-23,03:57,83,74,1,0,80,10,20,-6,D,4,2022-02-14,6a8GbQIlV8HBUW3c6Uk9PH,"Mr.305/Polo Grounds Music/J Records",10B,USJAY0900144
22,"The Fear","Lily Allen",59,134,"","","It's Not Me, It's You (Special Edition)",2008-12-02,03:27,66,85,42,0,52,0,10,-7,A#/B♭,4,2022-02-14,49BCXWSHGd4UumM9w17BvS,"Parlophone UK",6B,GBAYE0802259
23,"Sweet Dreams","Beyoncé",68,122,"","","I AM...SASHA FIERCE - Platinum Edition",2008-00-00,03:27,69,82,10,0,77,10,0,-6,C♯/D♭,4,2022-02-14,2wNGoon7FlKnVEyYS1ZRBQ,"Music World Music/Columbia",3B,USSM10804756
24,"Breakeven","The Script",82,94,"","","The Script",2008-07-14,04:21,63,70,14,0,49,0,0,-5,A#/B♭,4,2022-02-14,285hMzLhJwHVLe9QT9qilk,"Epic/Phonogenic",6B,GBARL0800147
25,"Good Girls Go Bad (feat. Leighton Meester)","Cobra Starship, Leighton Meester",65,120,"","","Hot Mess",2009-08-07,03:16,59,87,1,0,63,0,50,-4,C,4,2022-02-14,7kMfu3KUydmrFVGEAhjtyl,"Decaydance/Fueled By Ramen",8B,USAT20901277
26,"We Made You","Eminem",62,114,"rap, hip hop","Hip Hop","Relapse: Refill",2009-05-15,04:29,92,85,11,0,67,0,10,-1,D,4,2022-02-14,4UMTp91LHhvW33ol9ZQH0Q,"Eminem Catalog PS",10B,USUM70965164
27,"Get Shaky - Radio Edit","Ian Carey Project",46,128,"","","Get Shaky",2009-01-01,03:24,71,75,4,0,65,10,20,-4,F#/G♭,3,2022-02-14,76juDmdOF5jly6YlTcmSnJ,"Universal Music Australia Pty. Ltd.",2B,AUVC00824916
28,"When Love Takes Over (feat. Kelly Rowland)","David Guetta, Kelly Rowland",59,130,"edm","Electronic","One More Love",2010-11-22,03:11,68,86,2,0,50,0,10,-5,B,4,2022-02-14,1hRFVIy9As8OVRk8B7CrD5,"Parlophone (France)",1B,FRZID0900200
29,"New Divide","Linkin Park",71,118,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Transformers: Revenge Of The Fallen The Album",2009-06-12,04:28,49,81,0,0,38,0,10,-3,F minor,4,2022-02-14,6Wx88Mv6b9ofjKMKkdwOJd,"Reprise",4A,USWB10901893
30,"This Is Who I Am","Vanessa Amorosi",43,146,"","","Hazardous",2009-11-06,03:25,58,96,5,0,56,10,0,-2,A,4,2022-02-14,2rABlfAnp5ec2yZPcFRwL8,"Universal Music Australia Pty. Ltd.",11B,AUUM70902461
31,"Bad Romance","Lady Gaga",85,119,"art pop, pop","Pop","The Fame Monster (Deluxe Edition)",2009-11-05,04:54,70,92,0,0,71,0,0,-4,C,4,2022-02-14,0SiywuOBRcynK0uKGWdCnn,"Interscope",8B,USUM70918596
32,"STARSTRUKK (feat. Katy Perry)","3OH!3, Katy Perry, Matt Squire",64,140,"pop","Pop","WANT (Deluxe)",2009-01-16,03:22,61,81,0,0,23,0,20,-6,B minor,4,2022-02-14,1hBM2D1ULT3aeKuddSwPsK,"Rhino Atlantic",10A,USAT20902549
33,"DONTTRUSTME","3OH!3",71,130,"","","WANT",2008-07-07,03:12,79,71,2,0,51,20,10,-4,F minor,4,2022-02-14,5jzX4dWVQeBTtfBaXnMRt5,"Rhino Atlantic",4A,USAT20802554
34,"Down","Jay Sean, Lil Wayne",80,132,"rap, hip hop","Hip Hop","All Or Nothing",2009-01-01,03:32,73,68,1,0,73,0,0,-4,D,4,2022-02-14,6cmm1LMvZdB5zsCwX5BjqE,"Cash Money",10B,USCM50900094
35,"Hey Boys and Girls (Truth of the World, Part 2)","Evermore",45,128,"","","Truth of the World: Welcome to the Show",2009-03-20,05:48,65,88,0,0,76,0,0,-4,E minor,4,2022-02-14,0pZGh5brW7LG7QmbDQbXIO,"Evermore Music",9A,AUWA00900022
36,"Dead And Gone","T.I., Justin Timberlake",71,135,"southern hip hop","Hip Hop","Paper Trail",2008-09-07,04:59,71,75,4,0,47,20,60,-5,C,4,2022-02-14,7IhsLJMqdxoo7YAZjaSMru,"Grand Hustle, LLC",8B,USAT20803689
37,"Party In The U.S.A.","Miley Cyrus",81,96,"","","The Time Of Our Lives (International Version)",2009-01-01,03:22,65,70,0,0,47,0,0,-5,A#/B♭ minor,4,2022-02-14,3E7dfMvvCLUddWissuqMwr,"Hollywood Records",3A,USHR10924519
38,"Use Somebody","Kings of Leon",80,137,"","","Only By The Night",2008-09-23,03:50,28,72,1,0,17,0,20,-5,C,4,2022-02-14,5VGlqQANWDKJFl0MBG3sg2,"RCA/Legacy",8B,USRC10800301
39,"LoveGame","Lady Gaga",75,105,"art pop, pop","Pop","The Fame",2008-01-01,03:36,89,68,1,0,84,0,30,-6,F#/G♭ minor,4,2022-02-14,0eH2eHURaXUP15D8gQlfjx,"Streamline/Interscope",11A,USUM70824404
40,"My Life Would Suck Without You","Kelly Clarkson",66,145,"christmas","Pop","All I Ever Wanted",2009-03-06,03:31,53,88,0,0,42,0,10,-4,A,4,2022-02-14,4Dm32oO01YpIubCHaAtKkN,"RCA Records Label",11B,GBCTA0800348
41,"My Delirium","Ladyhawke",53,150,"","","Ladyhawke (Deluxe Edition)",2009-04-10,04:14,46,80,0,0,46,0,40,-4,A minor,4,2022-02-14,1YhzlKAGZCgFmu3maqDQtl,"Modular",8A,GBUM70808705
42,"Chase That Feeling","Hilltop Hoods",56,98,"","","State Of The Art",2009-06-12,03:29,61,87,62,0,52,0,10,-5,A minor,4,2022-02-14,0HDVr7DVXJIJXVzHxTiSS5,"Universal Music Australia Pty. Ltd.",8A,AUUM70900291
43,"Burn","Jessica Mauboy",38,126,"","","Been Waiting",2009-08-24,02:52,77,69,4,0,43,0,30,-4,F minor,4,2022-02-14,5xpcdgLDvTx7AKCfIUsmYS,"Sony Music Entertainment",4A,AUBM00800491
44,"Let It Rock","Kevin Rudolf, Lil Wayne",69,113,"rap, hip hop","Hip Hop","In The City",2008-01-01,03:51,61,78,0,0,43,0,0,-4,G,4,2022-02-14,6TrNRd98WksT9Kkmx9uj6R,"Cash Money",9B,USCM50800823
45,"Battlefield","Jordin Sparks",57,145,"","","Battlefield",2009-00-00,04:01,61,63,2,0,37,0,0,-3,D,4,2022-02-14,4hJNA7VCBfNDly2Lz1SKAt,"Jive",10B,GBCTA0900150
46,"Love Sex Magic (feat. Justin Timberlake)","Ciara, Justin Timberlake",55,107,"","","Fantasy Ride",2009-05-04,03:40,89,67,2,0,87,10,30,-5,A#/B♭ minor,4,2022-02-14,1BIENruTnjKdB7HD2YIlRr,"LaFace Records",3A,USLF20900012
