#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Roar","Katy Perry",4,180,"pop","Pop","PRISM (Deluxe)",2013-01-01,03:43,56,76,1,0,40,0,50,-5,G minor,4,2014-11-08,3bDGwl0X3EjQmIyFD1uif5,"Universal Music Group",6A,USUM71308669
2,"Blurred Lines","Robin Thicke, T.I., Pharrell Williams",4,120,"southern hip hop","Hip Hop","Blurred Lines",2013-01-01,04:23,86,50,0,0,86,0,0,-8,G,4,2014-11-08,0XzkemXSiXJa7VgDFPfU4S,"Universal Music Group",9B,USUM71302150
3,"Let Her Go","Passenger",0,75,"folk pop","Folk, Pop","All The Little Lights",2012-02-24,04:12,48,55,37,0,24,0,10,-7,G,4,2014-11-08,47UDiZQHAkVtMNhx6EjyOn,"Black Crow Records",9B,GBMQN1100004
4,"Wake Me Up","Avicii",2,124,"edm","Electronic","Wake Me Up",2013-08-06,04:09,51,80,0,0,59,0,10,-5,D,4,2014-11-08,294vBlXfZYspeI29SXZaON,"Universal Music Ltd.",10B,SEUM71301326
5,"Royals","Lorde",0,85,"","","Pure Heroine (Extended)",2013-01-01,03:10,68,43,12,0,32,10,10,-10,G,4,2014-11-08,4zztp85oS36ijgAWwyhX8p,"Universal Music Group",9B,NZUM71200031
6,"Just Give Me a Reason (feat. Nate Ruess)","P!nk, Nate Ruess",83,95,"","","The Truth About Love",2012-09-18,04:02,78,55,34,0,44,0,10,-7,D,4,2014-11-08,1mKXFLRA179hdOWQBwUk9e,"RCA Records Label",10B,USRC11200786
7,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk, Pharrell Williams, Nile Rodgers",80,116,"french house, electronic, electro","Electronic","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]",2013-04-19,04:08,79,81,4,0,86,0,10,-9,F#/G♭ minor,4,2014-11-08,2Foc5Q5nqNiosCNqttzHof,"Columbia",11A,USQX91300809
8,"Counting Stars","OneRepublic",4,122,"soft pop","Pop","Native (Deluxe)",2013-01-01,04:17,67,70,7,0,47,0,10,-5,C♯/D♭ minor,4,2014-11-08,519uJbE3zyKLlToVA65PrP,"Interscope",12A,USUM71301306
9,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis, Ray Dalton",2,146,"","","The Heist",2012-10-10,04:18,63,93,3,0,88,0,10,-4,D,4,2014-11-08,3BE0getU08uXas8ZjULABA,"Macklemore",10B,GMM881200002
10,"Impossible","James Arthur",81,170,"soft pop","Pop","James Arthur (Deluxe)",2013-11-04,03:29,38,70,14,0,30,0,10,-5,C minor,4,2014-11-08,5yVIlYEHZxQVLyInCdldoS,"Syco Music",5A,GBHMU1200338
