#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Low (feat. T-Pain)","Flo Rida, T-Pain",84,128,"","","Mail on Sunday",2008-03-17,03:51,92,61,9,0,30,0,10,-6,A#/B♭ minor,4,2024-05-27,0CAfXk7DXMnon4gLudAp7J,"Poe Boy/Atlantic",3A,USAT20705841
2,"Bleeding Love","Leona Lewis",78,104,"","","Spirit",2007-00-00,04:22,64,66,19,0,23,0,10,-6,F,4,2024-05-27,7wZUrN8oemZfsEd1CGkbXE,"Syco Music UK",7B,GBHMU0700049
3,"No One","Alicia Keys",72,90,"r&b, neo soul","R&B","As I Am (Expanded Edition)",2007-11-09,04:13,64,55,2,0,17,0,10,-5,C♯/D♭ minor,4,2024-05-27,6IwKcFdiRQZOWeYNhUiWIv,"J Records",12A,USJAY0700190
4,"Lollipop","Lil Wayne, Static Major",69,148,"rap, hip hop","Hip Hop","Tha Carter III",2008-06-10,04:59,83,43,6,0,45,0,10,-9,C,4,2024-05-27,4P7VFiaZb3xrXoqGwZXC3J,"CM/Republic",8B,USCM50800556
5,"Apologize","Timbaland, OneRepublic",74,118,"soft pop","Pop","Shock Value",2007-04-02,03:04,65,60,3,0,10,0,10,-6,G#/A♭,4,2024-05-27,6ucR4KfvsBFWCMVFDvyKKl,"Interscope/Blackground Records",4B,USUM70722793
6,"No Air (feat. Chris Brown)","Jordin Sparks, Chris Brown",66,160,"r&b","R&B","Jordin Sparks",2007-11-19,04:24,47,76,5,0,33,20,0,-5,G#/A♭ minor,4,2024-05-27,7EGhmltmWJHCHobd3g8Hnw,"19 Recordings",1A,GBCTA0700277
7,"Love Song","Sara Bareilles",72,123,"","","Little Voice",2007-07-03,04:18,58,79,2,0,57,0,10,-3,D minor,4,2024-05-27,4E6cwWJWZw2zWf7VFbH7wf,"Epic",7A,USSM10700066
8,"Love in This Club (feat. Young Jeezy)","USHER, Jeezy",75,140,"r&b, southern hip hop, crunk, rap, gangster rap","Hip Hop, R&B","Here I Stand",2008-05-27,04:19,57,71,6,0,35,0,10,-6,C,4,2024-05-27,5j0McHPthKpOXRr3fBq8M0,"LaFace Records",8B,USLF20800001
9,"With You","Chris Brown",79,86,"r&b","R&B","Exclusive (Expanded Edition)",2007-11-06,04:12,66,69,13,0,66,0,10,-4,D#/E♭,4,2024-05-27,5Lgcn7u07bHuqbOtXkN62u,"Jive",5B,USJI10700711
10,"Forever","Chris Brown",81,120,"r&b","R&B","Forever",2008-04-29,04:38,67,82,4,0,44,0,10,-4,B,4,2019-06-03,3NZJlJemX3mzjf56MqC5ML,"Jive",1B,USJI10800113
