#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Boom Boom Pow","Black Eyed Peas",67,130,"","","THE E.N.D. (THE ENERGY NEVER DIES)",2009-01-01,04:11,87,86,13,0,41,0,10,-6,A,4,2024-05-27,3opVsyWVYEAFK9bJAG8Opa,"Interscope",11B,USUM70955624
2,"Poker Face","Lady Gaga",56,119,"art pop, pop","Pop","The Fame Monster (Deluxe Edition)",2009-11-05,03:57,85,81,12,0,77,0,10,-5,E,4,2019-09-24,7zACUQbWQxzT4aER7ityBV,"Interscope",12B,USUM70824409
3,"Just Dance","Lady Gaga, Colby O'Donis",55,119,"art pop, pop","Pop","The Fame Monster (Deluxe Edition)",2009-11-05,04:01,82,74,3,0,75,0,10,-5,C♯/D♭ minor,4,2019-09-24,3QuEpyj4kTRWiWuckd1hcK,"Interscope",12A,USUM70807646
4,"I Gotta Feeling","Black Eyed Peas",76,128,"","","THE E.N.D. (THE ENERGY NEVER DIES)",2009-01-01,04:49,74,77,9,0,61,0,50,-6,C,4,2024-05-27,2H1047e0oMSj10dgp7p2VG,"Interscope",8B,USUM70965169
5,"Love Story","Taylor Swift",65,119,"","","Fearless",2008-11-11,03:55,62,74,17,0,30,0,0,-4,D,4,2019-08-04,1vrd6UOGamcKNGnSHJQlSt,"Taylor Swift",10B,USCJY0803275
6,"Right Round","Flo Rida, Kesha",83,125,"","","R.O.O.T.S. (Route of Overcoming the Struggle)",2009-03-23,03:24,72,67,1,0,71,0,20,-7,G,4,2025-08-22,3GpbwCm3YxiWDvy29Uo3vP,"Poe Boy/Atlantic",9B,USAT20900156
7,"I'm Yours","Jason Mraz",81,151,"soft pop, acoustic pop","Folk, Pop","We Sing. We Dance. We Steal Things. (Bonus Tracks Version)",2008-05-01,04:02,70,44,56,0,71,0,10,-9,B,4,2024-05-27,3S0OXQeoh0w6AY8WQVckRW,"Atlantic Records/ATG",1B,USEE10800667
8,"Single Ladies (Put a Ring on It)","Beyoncé",45,193,"","","I AM...SASHA FIERCE NEW DELUXE EDITION",2008-00-00,03:12,43,59,4,0,27,30,20,-5,C♯/D♭,4,2024-08-11,70HKaNaUpcUqEqnKoKy6gl,"Music World Music/Columbia",3B,USSM10803760
9,"Heartless","Kanye West",84,88,"rap","Hip Hop","808s & Heartbreak",2008-11-24,03:31,79,65,5,0,65,10,20,-6,A#/B♭ minor,4,2019-08-04,4EWCNWgDS8707fNSZ1oaA5,"Roc-A-Fella",3A,USUM70840511
10,"Gives You Hell","The All-American Rejects",73,100,"pop punk, emo","Rock, Pop","When The World Comes Down",2008-01-01,03:33,72,69,2,0,55,0,0,-6,E,4,2024-05-27,6ihL9TjfRjadfEePzXXyVF,"Interscope",12B,USUM70837368
