#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Irreplaceable","Beyoncé",71,176,"","","B'Day Deluxe Edition",2007-05-29,03:47,45,69,3,0,51,30,10,-5,G minor,4,2019-05-20,6RX5iL93VZ5fKmyvNXvF1r,"Columbia",6A,USSM10603620
2,"Umbrella","Rihanna, JAY-Z",84,174,"hip hop, east coast hip hop, rap","Hip Hop","Good Girl Gone Bad: Reloaded",2008-06-02,04:35,59,83,1,0,58,10,0,-5,C♯/D♭,4,2019-05-20,49FYlytm3dAAraYgpoJZux,"Def Jam Recordings",3B,USUM70736771
3,"The Sweet Escape","Gwen Stefani, Akon",76,120,"","","The Sweet Escape",2006-01-01,04:06,76,77,19,0,73,0,10,-4,C♯/D♭,4,2019-05-20,66ZcOcouenzZEnzTJvoFmH,"Interscope",3B,USUM70618684
4,"Big Girls Don't Cry (Personal)","Fergie",66,113,"","","The Dutchess",2006-09-13,04:28,71,64,20,0,25,0,0,-4,G,4,2019-05-20,4AniPkv5vgdE1n6VKreiyI,"Will I Am / Fergie LP1",9B,USUM70609115
5,"Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","T-Pain, Yung Joc",77,80,"crunk, southern hip hop","Hip Hop","Epiphany (Expanded Edition)",2007-06-05,03:47,69,55,1,0,61,10,0,-8,C♯/D♭,4,2024-08-10,1tkMs9wDPknQ3ZHcKDw1ES,"Jive/Legacy",3B,USJI10700121
6,"Before He Cheats","Carrie Underwood",76,148,"country","Country","Some Hearts",2005-11-14,03:19,52,75,27,0,29,0,10,-3,F#/G♭ minor,4,2019-05-20,0ZUo4YjG4saFnEJhdWp9Bt,"Arista",11A,GBCTA0500197
7,"Hey There Delilah","Plain White T's",79,104,"","","All That We Needed",2005-01-25,03:52,66,29,87,0,30,0,10,-11,D,4,2024-08-10,4RCWB3V8V0dignt99LZ8vH,"Fearless Records",10B,US5260507213
8,"I Wanna Love You","Akon, Snoop Dogg",77,100,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap","Hip Hop, R&B","Konvicted",2006-01-01,04:07,87,45,4,0,37,0,20,-9,C,4,2024-08-10,0CXVjQI9wsqaGeIARkkpYc,"Konvict/Upfront/SRC/Universal Records",8B,USUM70615284
9,"Say It Right","Nelly Furtado",83,117,"","","Loose",2006-01-01,03:43,87,87,5,0,81,10,0,-6,C♯/D♭,4,2024-08-10,2aI21FnmY7TJVKeMaoQZ0t,"Mosley / Geffen",3B,USUM70603368
10,"Glamorous","Fergie, Ludacris",70,131,"southern hip hop","Hip Hop","The Dutchess",2006-09-13,04:06,81,76,29,0,63,20,0,-6,C,4,2019-05-20,4KTtYhxFtFL7mBwnjkKfLm,"Will I Am / Fergie LP1",8B,USUM70609119
11,"Don't Matter","Akon",76,125,"","","Konvicted",2006-01-01,04:53,80,44,24,0,35,0,30,-6,D,4,2024-08-10,7I6DceMT3utDOHjcYCbrr4,"Konvict/Upfront/SRC/Universal Records",10B,USUM70615300
12,"Girlfriend","Avril Lavigne",76,164,"","","The Best Damn Thing (Expanded Edition)",2007-04-17,03:36,56,96,0,0,67,10,20,-2,G,4,2024-08-10,45hOioMDJktr86iKDHC8gr,"RCA Records Label",9B,USRC10700021
13,"Makes Me Wonder","Maroon 5",65,114,"pop","Pop","It Won't Be Soon Before Long.",2007-01-01,03:31,80,85,0,0,88,0,0,-2,G,4,2019-05-20,1lHXlGlve5Zx8tXLhyjDwM,"Interscope Records*",9B,USUM70729755
14,"Party Like A Rock Star","SHOP BOYZ",65,145,"","","Rockstar Mentality",2007-01-01,04:13,62,71,1,0,68,0,50,-5,G,4,2024-08-10,1IYaMVfidzSfvCUZYXhsU1,"Universal (MT)",9B,USUM70731798
15,"Smack That","Akon, Eminem",84,119,"rap, hip hop","Hip Hop","Konvicted",2006-01-01,03:32,94,74,32,0,93,0,10,-5,F minor,4,2024-08-10,2kQuhkFX7uSVepCD3h29g5,"Konvict/Upfront/SRC/Universal Records",4A,USUM70609036
16,"This Is Why I'm Hot","MiMS",59,80,"","","Music Is My Savior",2007-01-01,04:13,62,60,28,0,49,50,50,-6,G#/A♭,4,2019-05-20,0AA6zq5ArZ1sSH7VIMi4NK,"Capitol Records",4B,USCA20701945
17,"It's Not Over","Daughtry",51,146,"","","Daughtry",2006-11-20,03:35,43,92,6,0,30,0,20,-3,A#/B♭ minor,4,2019-05-20,0wIhWLNLIOmzQ89B3rtTd3,"RCA Records Label",3A,GBCTA0600228
18,"The Way I Are","Timbaland, Keri Hilson, D.O.E.",60,115,"","","Shock Value",2007-04-02,02:59,73,81,18,75,76,10,30,-6,F#/G♭,4,2019-05-20,5RM4iGrNOyeKLTcMv2FPc9,"Interscope/Blackground Records",2B,USUM70722806
19,"Fergalicious","Fergie, will.i.am",69,129,"","","The Dutchess",2006-09-13,04:52,91,58,6,0,83,30,10,-8,G#/A♭ minor,4,2019-05-20,1D066zixBwqFYqBhKgdPzp,"Will I Am / Fergie LP1",1A,USUM70609117
20,"Crank That (Soulja Boy)","Soulja Boy",76,140,"","","souljaboytellem.com",2007-01-01,03:41,73,74,51,0,80,0,0,-2,C,4,2019-05-20,66TRwr5uJwPt15mfFkzhbi,"Collipark / Interscope",8B,USUM70742048
21,"Give It To Me","Timbaland, Justin Timberlake, Nelly Furtado",78,111,"","","Shock Value",2007-04-02,03:54,98,71,17,0,82,0,0,-4,G#/A♭,4,2019-05-20,0wbDgMuAoy7O7pL3a69uZx,"Interscope/Blackground Records",4B,USUM70700995
22,"What Goes Around.../...Comes Around (Interlude)","Justin Timberlake",79,76,"","","FutureSex/LoveSounds",2006-09-12,07:28,69,72,12,0,43,0,50,-5,G,4,2024-08-10,3pD0f7hSJg2XdQ6udw5Tey,"Jive",9B,USJI10600479
