#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Yeah! (feat. Lil Jon & Ludacris)","USHER, Lil Jon, Ludacris",85,105,"r&b, crunk, southern hip hop","Hip Hop, R&B","Confessions (Expanded Edition)",2004-03-23,04:10,89,79,2,0,58,10,0,-5,D,4,2019-07-04,5rb9QrpfcKFHM1EUbSIurX,"LaFace Records",10B,USAR10301423
2,"Burn","USHER",75,120,"r&b","R&B","Confessions (Expanded Edition)",2004-03-23,03:51,80,48,31,0,69,10,10,-7,C♯/D♭,4,2019-07-04,7z3N2W7Xz1t2G2sAO8wFVH,"LaFace Records",3B,USAR10400974
3,"If I Ain't Got You","Alicia Keys",83,118,"r&b, neo soul","R&B","The Diary Of Alicia Keys",2003-12-02,03:48,61,44,60,0,17,10,10,-9,G,3,2019-07-04,3XVBdLihbNbxUwZosxcGuJ,"J Records",9B,USJAY0300452
4,"This Love","Maroon 5",62,95,"pop","Pop","Songs About Jane",2002-06-25,03:26,71,86,5,0,81,0,0,-5,F minor,4,2019-07-04,6YgV0EF8xJMZz0Zm6BTaT4,"Interscope Records*",4A,USJAY0300080
5,"The Way You Move (feat. Sleepy Brown)","Outkast, Sleepy Brown",73,126,"southern hip hop, hip hop","Hip Hop","Speakerboxxx/The Love Below",2003-00-00,03:54,87,60,13,0,64,0,0,-5,F minor,4,2019-07-04,5z7mYFfhw6N6f23VwrokJD,"Arista",4A,USAR10300967
6,"The Reason","Hoobastank",83,83,"nu metal","Metal, Rock","The Reason (20th Anniversary)",2024-01-12,03:52,47,67,1,0,7,0,10,-5,E,4,2024-08-04,5B5eTk7DF8KVp1zpQoY1XY,"Island Def Jam",12B,USIR20300704
7,"I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster","Mario Winans, Enya, Diddy",62,97,"new age, celtic, hip hop, east coast hip hop","Folk, Traditional Music, Hip Hop, New Age","Bad Boy 20th Anniversary Box Set Edition",2016-08-12,04:17,83,52,35,0,40,0,10,-5,B minor,4,2019-07-04,2yr2HnFYl7XvqJk4fXoQBt,"Rhino Atlantic",10A,USRH11603418
8,"Hey Ya!","Outkast",82,80,"southern hip hop, hip hop","Hip Hop","Speakerboxxx/The Love Below",2003-00-00,03:55,73,97,10,0,97,0,10,-2,E minor,4,2019-07-04,2PpruBYCo4H7WOBJ7Q2EwM,"Arista",9A,USAR10300924
9,"Goodies (feat. Petey Pablo)","Ciara, Petey Pablo",68,102,"crunk, southern hip hop","Hip Hop","Goodies",2004-09-27,03:43,83,65,3,0,87,0,30,-6,F minor,4,2019-07-04,3dFwpxh2yH7C7p9BGEKLVB,"So So Def",4A,USLF20400041
10,"Lean Back","Terror Squad, Fat Joe, Remy Ma, remy",68,95,"east coast hip hop","Hip Hop","True Story",2004-07-15,04:07,78,92,11,0,70,40,0,-3,C♯/D♭,4,2024-08-04,2Ozc0me9PV5vlt8cokwdvI,"SRC Records",3B,USUR10400288
11,"Tipsy - Club Mix","J-Kwon",66,93,"","","Hood Hop",2004-00-00,04:03,93,74,6,0,66,30,0,-6,C,4,2019-07-04,0jSMveIWvnhDIvzqN74Uc7,"Arista",8B,USAR10301217
12,"Confessions Part II","USHER",71,138,"r&b","R&B","Confessions (Expanded Edition)",2004-03-23,03:31,85,47,6,0,70,10,0,-8,C♯/D♭,4,2019-07-04,7wBThXx7BGZHJJ3aN3OPvv,"LaFace Records",3B,USAR10400973
13,"Slow Motion","JUVENILE, Soulja Slim",65,173,"southern hip hop, crunk, new orleans bounce, bounce","Hip Hop","Juve The Great",2003-01-01,04:08,71,73,55,0,89,30,0,-5,C minor,4,2019-07-04,6ihObRBTB8xdSH2mlERtOX,"Cash Money",5A,USCM50300192
14,"Freek-A-Leek","Petey Pablo",72,105,"crunk, southern hip hop","Hip Hop","Still Writing In My Diary: 2nd Entry",2003-00-00,03:55,74,70,8,0,66,20,30,-4,D,4,2019-07-04,4UNhyW0R7qylxrF6Z0q2Tb,"Jive",10B,USJI10300841
15,"Here Without You","3 Doors Down",79,144,"post-grunge","Rock","Away From The Sun",2002-11-12,03:58,56,53,5,0,23,0,20,-7,A#/B♭ minor,4,2019-07-04,3NLrRZoMF0Lx6zTlYqeIo4,"Universal Records",3A,USUR10200764
16,"Slow Jamz (feat. Kanye West & Jamie Foxx)","Twista, Kanye West, Jamie Foxx",62,145,"rap","Hip Hop","Kamikaze",2004-01-27,03:32,56,76,37,0,60,10,10,-7,D minor,4,2019-07-04,1boHm9rjmvzxpJASd9dnGK,"Atlantic Records",7A,USAT20303708
17,"Someday","Nickelback",74,163,"post-grunge, rock","Rock","The Long Road",2003-09-23,03:27,46,86,0,0,60,0,20,-6,B minor,4,2024-08-04,4PkJ7c9y1CwpuVOiJODnCZ,"Roadrunner Records",10A,NLA320320275
18,"Naughty Girl","Beyoncé",66,200,"","","Dangerously In Love",2003-06-24,03:28,59,46,24,0,66,10,0,-9,F#/G♭ minor,4,2019-07-04,0YGQ3hZcRLC5YX7o0hdmHg,"Columbia",11A,USSM10305418
