#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Rolling in the Deep","Adele",80,105,"soft pop","Pop","21",2011-01-24,03:48,73,77,14,0,51,0,0,-5,G#/A♭,4,2021-04-02,4OSBTYWVwsQhGLF9NHvIbR,"XL Recordings",4B,GBBKS1000335
2,"Party Rock Anthem","LMFAO, Lauren Bennett, GoonRock",36,130,"","","Sorry For Party Rocking (Deluxe Version)",2011-01-01,04:22,75,74,2,0,36,10,20,-4,F minor,4,2019-09-20,7FwaX3u4lo5wqF2mdHQlsC,"Will I Am / A&M",4A,USUM71100061
3,"Firework","Katy Perry",71,124,"pop","Pop","Teenage Dream: The Complete Confection",2012-03-12,03:47,64,83,14,0,65,0,0,-5,G#/A♭,4,2019-09-20,4lCv7b86sLynZbXhfScfm2,"Capitol Records",4B,USCA21001262
4,"E.T.","Katy Perry, Kanye West",68,152,"pop, rap","Pop, Hip Hop","Teenage Dream: The Complete Confection",2012-03-12,03:49,62,87,2,0,76,10,30,-5,C♯/D♭,4,2019-09-20,36ux3YuUsGTWPT8fXclS45,"Capitol Records",3B,USCA21100386
5,"Give Me Everything (feat. Nayer)","Pitbull, AFROJACK, Ne-Yo, Nayer",87,129,"edm, big room","Electronic","Planet Pit (Deluxe Version)",2011-06-17,04:12,67,94,19,0,53,10,30,-3,G#/A♭,4,2019-09-20,4QNpBfC0zvjKqPJcyqBy9W,"Mr.305/Polo Grounds Music/J Records",4B,USJAY1100032
6,"Grenade","Bruno Mars",78,110,"","","Doo-Wops & Hooligans",2010-05-11,03:42,70,56,15,0,25,0,10,-7,D minor,4,2019-09-20,2tJulUYLDKOg9XrtVkMgcJ,"Atlantic Records",7A,USAT21001883
7,"Fuck You","CeeLo Green",62,127,"","","The Lady Killer",2010-11-09,03:42,69,83,13,0,74,0,10,-6,C,4,2019-09-20,4ycLiPVzE5KamivXrAzGFG,"Radiculture/Elektra",8B,USAT21001768
8,"Super Bass","Nicki Minaj",79,127,"","","Pink Friday (Complete Edition)",2010-11-22,03:20,72,86,27,0,67,20,60,-4,B,4,2024-08-11,3hlksXnvbKogFdPbpO9vel,"Nicki Minaj/Cash Money",1B,USCM51000734
9,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5, Christina Aguilera",74,128,"pop","Pop","Hands All Over",2010-00-00,03:21,72,76,1,0,62,0,30,-4,B minor,4,2024-08-11,7LcfRTgAVTs5pQGEQgUEzN,"Interscope Records*",10A,USUM71109132
10,"Just Can’t Get Enough","Black Eyed Peas",82,94,"","","The Beginning",2010-01-01,03:39,66,63,19,0,26,10,10,-9,C minor,4,2019-09-20,3JA9Jsuxr4xgHXEawAdCp4,"A&M",5A,USUM71026671
11,"On The Floor","Jennifer Lopez, Pitbull",81,130,"","","Love?",2011-04-29,04:44,73,78,11,0,57,0,0,-5,D#/E♭ minor,4,2024-08-11,3C0nOe05EIt1390bVABLyN,"Nuyorican Productions / IDJ",2A,USUM71104034
12,"S&M","Rihanna",48,128,"","","Loud",2010-11-16,04:03,77,68,1,0,83,0,10,-5,C♯/D♭,4,2019-09-20,08Bfk5Y2S5fCxgxk371Eel,"Def Jam Recordings",3B,USUM71026591
13,"Pumped Up Kicks","Foster The People",84,128,"","","Torches",2011-05-23,03:59,73,71,14,12,97,0,10,-6,F minor,4,2019-09-20,7w87IxuO7BDcJ3YUqCyMTT,"Columbia",4A,USSM11002931
14,"Last Friday Night (T.G.I.F.)","Katy Perry",74,126,"pop","Pop","Teenage Dream: The Complete Confection",2012-03-12,03:50,65,81,0,0,76,0,60,-4,D#/E♭ minor,4,2019-09-20,455AfCsOhhLPRc68sE01D8,"Capitol Records",2A,USCA21001264
15,"Just the Way You Are","Bruno Mars",85,109,"","","Doo-Wops & Hooligans",2010-05-11,03:40,64,84,1,0,42,0,0,-5,F,4,2019-09-20,7BqBn9nzAq8spo5e7cZ0dJ,"Atlantic Records",7B,USAT21001269
16,"Tonight (I'm Fuckin' You)","Enrique Iglesias, Ludacris, DJ Frank E",65,126,"latin pop, latin, southern hip hop","Latin, Pop, Hip Hop","Euphoria",2010-00-00,03:52,65,89,3,0,32,0,10,-4,C minor,4,2024-08-11,3nMb7ToWIxYvmaIG20z6ux,"Universal Music Group International",5A,GBUM71029652
17,"Raise Your Glass","P!nk",36,122,"","","Greatest Hits...So Far!!!",2010-11-12,03:23,70,72,1,0,61,0,0,-5,G,4,2019-09-20,3M75hklvMpAwlJK0KezDKU,"LaFace Records",9B,USLF21000090
18,"Born This Way","Lady Gaga",68,124,"art pop, pop","Pop","Born This Way (Special Edition)",2011-01-01,04:20,59,83,0,0,49,10,30,-5,B,4,2019-09-20,6r2BECwMgEoRb5yLfp0Hca,"Interscope",1B,USUM71100638
19,"F**kin' Perfect","P!nk",62,92,"","","Greatest Hits...So Far!!!",2010-11-12,03:33,56,65,4,0,48,0,30,-5,G,4,2019-09-20,3MGJF1CDFGfjXESL2Heva0,"LaFace Records",9B,USLF21000091
20,"What's My Name?","Rihanna, Drake",50,100,"rap","Hip Hop","Loud",2010-11-16,04:23,69,79,23,0,58,0,0,-3,D,4,2019-09-20,5xZtUAVUVfjBtVtMOgMkyy,"Def Jam Recordings",10B,USUM71025031
21,"Look At Me Now (feat. Lil' Wayne & Busta Rhymes)","Chris Brown, Lil Wayne, Busta Rhymes",72,146,"r&b, rap, hip hop, east coast hip hop","Hip Hop, R&B","F.A.M.E. (Expanded Edition)",2011-03-22,03:42,77,68,3,0,54,10,10,-6,B minor,4,2019-09-20,3hsmbFKT5Cujb5GQjqEU39,"Jive",10A,USJI11100017
22,"Down On Me","Jeremih, 50 Cent",30,160,"east coast hip hop, old school hip hop","Hip Hop","All About You",2010-01-01,03:48,70,60,4,0,59,10,10,-8,D,4,2019-09-20,0x3TibRgnSqzkcwrqBd4iX,"Def Jam",10B,USUM71023043
23,"How To Love","Lil Wayne",68,154,"rap, hip hop","Hip Hop","Tha Carter IV (Complete Edition)",2011-08-29,04:00,64,66,0,0,27,0,10,-6,B,4,2024-08-11,5W7BcYDIaeXnpG3e39T7hJ,"CM/Republic",1B,USCM51100147
24,"Someone Like You","Adele",81,135,"soft pop","Pop","21",2011-01-24,04:45,56,32,89,0,29,0,10,-8,A,4,2021-04-02,3bNv3VuUOKgrf5hu3YcuRo,"XL Recordings",11B,GBBKS1000351
25,"Good Life","OneRepublic",75,95,"soft pop","Pop","Waking Up",2009-01-01,04:13,63,69,8,0,65,0,10,-8,F#/G♭,4,2019-09-20,6OtCIsQZ64Vs1EbzztvAv4,"Mosley / Interscope",2B,USUM70999110
26,"The Lazy Song","Bruno Mars",74,175,"","","Doo-Wops & Hooligans",2010-05-11,03:09,79,71,30,0,96,0,10,-5,G#/A♭ minor,4,2019-09-20,1ExfPZEiahqhLyajhybFeS,"Atlantic Records",1A,USAT21001886
27,"Till the World Ends","Britney Spears",65,132,"pop","Pop","Femme Fatale (Deluxe Version)",2011-03-28,03:57,69,71,2,0,45,0,20,-6,G#/A♭,4,2019-09-20,38iU2jg98IZZEIJPrP7aWD,"Jive",4B,USJI11100074
28,"The Show Goes On","Lupe Fiasco",71,143,"","","Lasers",2011-03-04,03:59,59,89,2,0,65,10,10,-4,G,4,2024-08-11,4NTWZqvfQTlOMitlVn6tew,"1st & 15th/Atlantic",9B,USAT21002369
29,"The Edge Of Glory","Lady Gaga",46,128,"art pop, pop","Pop","Born This Way (Special Edition)",2011-01-01,05:20,58,77,0,2,36,0,10,-6,A,4,2019-09-20,6uxYfENm7zw050dNUi031W,"Interscope",11B,USUM71106458
30,"We R Who We R","Kesha",75,120,"","","Cannibal (Expanded Edition)",2010-11-19,03:24,74,82,1,0,65,0,10,-5,G#/A♭,4,2019-09-20,3LUWWox8YYykohBbHUrrxd,"RCA Records Label",4B,USRC11000862
31,"Black and Yellow","Wiz Khalifa",78,164,"rap","Hip Hop","Rolling Papers",2011-03-29,03:37,68,83,6,0,54,0,20,-5,D minor,4,2024-08-11,5A6OHHy73AR5tLxgTc98zz,"Rostrum/Atlantic",7A,USAT21001800
