#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",66,95,"g-funk","Hip Hop, R&B","The Heist (Deluxe Edition)",2012-10-09,03:55,78,53,6,0,67,20,0,-7,F#/G♭ minor,4,2024-08-11,7bYZBVrnRfqeaPbhRyEvK3,"Macklemore",11A,GMM881200003
2,"Blurred Lines","Robin Thicke, T.I., Pharrell Williams",78,120,"southern hip hop","Hip Hop","Blurred Lines (Deluxe)",2013-01-01,04:23,85,60,0,0,84,0,0,-5,G,4,2023-03-20,0n4bITAu0Y0nigrz3MFJMb,"The Neptunes",9B,USUM71307668
3,"Radioactive","Imagine Dragons",72,136,"","","Night Visions",2012-09-04,03:06,45,78,10,0,24,0,60,-4,A,4,2019-07-15,4G8gkOterJn0Ywt6uhqbhp,"Kid Ina Korner / Interscope",11B,USUM71201074
4,"Harlem Shake","Baauer",54,138,"edm trap","Electronic, Hip Hop","Harlem Shake",2013-02-12,03:16,45,79,1,0,28,0,40,-5,C,4,2019-07-15,01XFgRZfZI7oBagNf1Loml,"Mad Decent",8B,USZ4V1200043
5,"Can't Hold Us (feat. Ray Dalton)","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",65,146,"","","The Heist (Deluxe Edition)",2012-10-09,04:18,63,93,3,0,88,0,10,-4,D,4,2024-08-11,1ydmhnyDOWr5y0s7Vvdw5i,"Macklemore",10B,GMM881200002
6,"Mirrors","Justin Timberlake",83,77,"","","The 20/20 Experience (Deluxe Version)",2013-03-15,08:04,57,51,23,0,51,0,0,-7,F minor,4,2024-08-11,4rHZZAmHpZrA3iH5zx8frV,"RCA Records Label",4A,USRC11300059
7,"Just Give Me a Reason (feat. Nate Ruess)","P!nk, Nate Ruess",83,95,"","","The Truth About Love",2012-09-18,04:02,78,55,34,0,44,0,10,-7,D,4,2019-07-15,1mKXFLRA179hdOWQBwUk9e,"RCA Records Label",10B,USRC11200786
8,"When I Was Your Man","Bruno Mars",88,73,"","","Unorthodox Jukebox",2012-12-07,03:33,61,28,93,0,39,0,0,-9,C,4,2019-07-15,0nJW01T7XtvILxQgC5J7Wh,"Atlantic Records",8B,USAT21206701
9,"Cruise - Remix","Florida Georgia Line, Nelly",56,149,"country, pop country, acoustic country","Country, Folk, Pop","Here's To The Good Times...This Is How We Roll",2013-01-01,03:28,53,92,2,0,62,0,60,-4,C minor,4,2024-08-11,0jHSdjxn9LfzNL0WkDu93W,"Big Machine Label Group",5A,USUM71303140
10,"Roar","Katy Perry",72,90,"pop","Pop","PRISM (Deluxe)",2013-10-18,03:43,67,77,0,0,44,0,30,-5,G minor,4,2024-08-11,6F5c58TMEs1byxUstkzVeM,"Capitol Records (CAP)",6A,USUM71308669
11,"Locked out of Heaven","Bruno Mars",88,144,"","","Unorthodox Jukebox",2012-12-07,03:53,73,70,5,0,87,0,30,-4,F,4,2019-07-15,3w3y8KPTfNeOKPiqUTakBh,"Atlantic Records",7B,USAT21203287
