#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"We Belong Together","Mariah Carey",48,140,"christmas","Pop","The Emancipation Of Mimi (Ultra Platinum Edition)",2005-04-12,03:21,84,47,3,0,79,0,0,-8,C,4,2024-07-01,3NmgiTs1H5tAYpZG916D6u,"Def Jam Recordings",8B,USIR20500195
2,"Hollaback Girl","Gwen Stefani",72,110,"","","Love. Angel. Music. Baby. (Deluxe Version)",2004-11-12,03:19,93,92,35,0,90,0,0,-2,A#/B♭ minor,4,2024-07-01,0LzrhCZFXW94Y8nwtTuRlw,"Interscope",3A,USIR10400847
3,"Let Me Love You","Mario",75,95,"r&b","R&B","Turning Point",2004-03-15,04:09,69,59,18,0,62,0,10,-8,G minor,4,2024-07-01,7GaFYUqP2WdR4KTPk7cXoP,"J Records",6A,USJAY0400348
4,"Since U Been Gone","Kelly Clarkson",75,131,"christmas","Pop","Breakaway",2004-01-17,03:08,66,74,0,3,40,0,10,-5,C,4,2024-07-01,3xrn9i8zhNZsTtcoWgQEAd,"RCA Records Label",8B,GBCTA0400231
5,"1, 2 Step (feat. Missy Elliott)","Ciara, Missy Elliott",74,113,"hip hop","Hip Hop","Goodies",2004-09-27,03:23,94,51,4,0,84,10,0,-11,F minor,4,2019-07-10,7uKcScNXuO3MWw6LowBjW1,"So So Def",4A,USLF20400121
6,"Gold Digger","Kanye West, Jamie Foxx",80,93,"rap","Hip Hop","Late Registration",2005-08-30,03:27,63,70,2,0,62,30,0,-6,C♯/D♭ minor,4,2019-07-10,1PS1QMdUqOal0ai3Gt7sDQ,"Roc-A-Fella",12A,USUM70500143
7,"Boulevard of Broken Dreams","Green Day",72,167,"punk, pop punk","Pop, Rock","Greatest Hits: God's Favorite Band",2017-11-17,04:22,50,68,1,0,47,0,0,-4,G#/A♭,4,2024-07-01,5GorCbAP4aL0EJ16frG2hd,"Reprise",4B,USRE10400985
8,"Candy Shop","50 Cent, Olivia",80,125,"east coast hip hop, old school hip hop","Hip Hop","The Massacre",2005-03-03,03:29,61,57,3,0,76,40,30,-8,B,5,2024-07-01,5D2mYZuzcgjpchVY1pmTPh,"Aftermath/Shady",1B,USIR10500072
9,"Don't Cha","The Pussycat Dolls, Busta Rhymes",68,120,"east coast hip hop","Hip Hop","PCD",2005-01-01,04:32,88,64,1,0,57,0,10,-3,C♯/D♭,4,2019-07-10,1gZ7i4qxXkHZb1r6eioaAP,"Pussycat Dolls",3B,USUM70503191
10,"Behind These Hazel Eyes","Kelly Clarkson",61,90,"christmas","Pop","Breakaway",2004-01-17,03:18,55,89,0,0,43,0,20,-5,A,4,2024-07-01,0AKAxdNkwq9ZxRdW1DN9zW,"RCA Records Label",11B,GBCTA0400263
11,"Disco Inferno","50 Cent",73,97,"east coast hip hop, old school hip hop","Hip Hop","The Massacre",2005-03-03,03:34,93,66,21,0,71,20,20,-5,D#/E♭,4,2024-07-01,69bHJ9qs5FrUJbKP8xU8uZ,"Aftermath/Shady",5B,USIR10401085
12,"You And Me","Lifehouse",76,140,"post-grunge","Rock","Lifehouse",2005-03-22,03:15,46,43,11,0,35,0,10,-8,G,3,2019-07-10,0815caqt2Lytro5EIzMufT,"Geffen",9B,USDW10500001
13,"Don't Phunk With My Heart","Black Eyed Peas",1,131,"","","Monkey Business",2005-01-01,03:59,69,93,1,0,61,0,50,-3,F minor,4,2019-07-10,4MtDnnAJ1AtWit10FRmZdW,"A&M",4A,USIR10500521
