,Country,Treat_Grp,Year,post_recession,BPM,Danceability,Energy,Happy,Loudness,youth_unemployment
0,AUS,0,2000,0,121.57648999999999,0.6697399999999999,0.80452,0.6873600000000002,-5.881609999999999,0.12084
1,AUS,0,2001,0,117.8741414141414,0.6856767676767676,0.7632929292929294,0.6767373737373736,-5.755828282828282,0.13476000000000002
2,AUS,0,2002,0,119.13408333333332,0.6682916666666666,0.7659583333333332,0.6427916666666667,-5.252739583333334,0.12794
3,AUS,0,2003,0,119.44492708333333,0.65728125,0.7299375,0.6067,-5.387302083333334,0.11962
4,AUS,0,2004,0,117.16907216494847,0.6562577319587628,0.7124329896907218,0.6101175257731959,-5.454432989690722,0.11366
5,AUS,0,2005,0,119.75738541666665,0.67946875,0.72584375,0.6014666666666667,-5.4121145833333335,0.10618999999999999
6,AUS,0,2006,0,124.83108421052631,0.6242105263157894,0.7215578947368422,0.5441368421052631,-5.467694736842105,0.10026
7,AUS,0,2007,0,126.47237999999999,0.63015,0.7623000000000001,0.5497099999999999,-5.1094100000000005,0.09359999999999999
8,AUS,0,2008,0,129.22961999999998,0.6349800000000001,0.75981,0.5290209999999999,-4.86729,0.08814
9,AUS,0,2009,1,129.79332,0.6305599999999999,0.7865300000000001,0.57058,-4.6362,0.11461
10,AUS,0,2010,1,124.42913999999999,0.6592,0.77738,0.57234,-4.96686,0.11548
11,AUS,0,2011,1,126.95333,0.6578000000000002,0.77498,0.592856,-4.79476,0.1137
12,AUS,0,2012,1,123.88132000000002,0.6368,0.77878,0.5764020000000001,-4.84685,0.11728
13,AUS,0,2013,1,122.36923999999999,0.62655,0.72312,0.5147379999999999,-5.395550000000002,0.1222
14,USA,1,2000,0,117.83022999999999,0.6787500000000003,0.7063600000000001,0.613833,-6.255070000000002,0.09278
15,USA,1,2001,0,114.62250000000002,0.65711,0.69638,0.5906440000000001,-5.887180000000001,0.10492000000000001
16,USA,1,2002,0,118.32529000000001,0.6706699999999999,0.70391,0.607962,-5.779920000000001,0.11935000000000001
17,USA,1,2003,0,115.29324999999999,0.6703600000000002,0.6796699999999999,0.611744,-5.886120000000001,0.12362000000000001
18,USA,1,2004,0,117.34086000000003,0.6782199999999999,0.6787400000000001,0.592906,-5.99078,0.11791
19,USA,1,2005,0,114.51174999999999,0.67975,0.68062,0.5610499999999999,-5.99538,0.1124
20,USA,1,2006,0,116.73917,0.6840799999999999,0.68216,0.5549000000000001,-5.83255,0.1043
21,USA,1,2007,0,120.39272000000001,0.66143,0.71572,0.57501,-5.340889999999999,0.10472
22,USA,1,2008,0,122.46628999999997,0.6488700000000001,0.71223,0.5167930000000001,-5.41364,0.1276
23,USA,1,2009,1,126.11807999999999,0.6314799999999999,0.7295900000000001,0.5320790000000001,-5.013740000000001,0.17517
24,USA,1,2010,1,117.54466000000002,0.62527,0.7519899999999998,0.55265,-4.8223,0.18361
25,USA,1,2011,1,127.83062000000001,0.62694,0.7544099999999999,0.5376870000000001,-5.05051,0.17271999999999998
26,USA,1,2012,1,127.19719191919191,0.6477474747474747,0.7378787878787878,0.5643030303030303,-5.121575757575757,0.16210999999999998
27,USA,1,2013,1,120.54375999999998,0.63717,0.7060200000000001,0.520993,-5.610769999999999,0.15558
